"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Priority"
"566",0,3,"male",19,0,0,7.8958,"NP"
"567",0,3,"female",29,0,4,21.075,"P"
"568",0,3,"male",25,0,0,7.2292,"NP"
"569",1,3,"male",32,0,0,7.8542,"NP"
"570",1,2,"male",62,0,0,10.5,"NP"
"571",1,1,"female",53,2,0,51.4792,"P"
"572",1,1,"male",36,0,0,26.3875,"NP"
"573",1,3,"female",16,0,0,7.75,"P"
"574",0,3,"male",16,0,0,8.05,"P"
"575",0,3,"male",19,0,0,14.5,"NP"
"576",1,2,"female",34,0,0,13,"P"
"577",1,1,"female",39,1,0,55.9,"P"
"578",0,3,"female",17,1,0,14.4583,"P"
"579",1,3,"male",32,0,0,7.925,"NP"
"580",1,2,"female",25,1,1,30,"P"
"581",1,1,"female",39,1,1,110.8833,"P"
"582",0,2,"male",54,0,0,26,"NP"
"583",0,1,"male",36,0,0,40.125,"NP"
"584",0,3,"male",25,0,0,8.7125,"NP"
"585",1,1,"female",18,0,2,79.65,"P"
"586",0,2,"male",47,0,0,15,"NP"
"587",1,1,"male",60,1,1,79.2,"NP"
"588",0,3,"male",22,0,0,8.05,"NP"
"589",0,3,"male",35,0,0,8.05,"NP"
"590",0,3,"male",35,0,0,7.125,"NP"
"591",1,1,"female",52,1,0,78.2667,"P"
"592",0,3,"male",47,0,0,7.25,"NP"
"593",0,3,"female",30.5,0,2,7.75,"P"
"594",0,2,"male",37,1,0,26,"NP"
"595",0,3,"male",36,1,1,24.15,"NP"
"596",1,2,"female",34,0,0,33,"P"
"597",0,3,"male",49,0,0,0,"NP"
"598",0,3,"male",27,0,0,7.225,"NP"
"599",1,1,"male",49,1,0,56.9292,"NP"
"600",1,2,"female",24,2,1,27,"P"
"601",0,3,"male",35,0,0,7.8958,"NP"
"602",0,1,"male",60,0,0,42.4,"NP"
"603",0,3,"male",44,0,0,8.05,"NP"
"604",1,1,"male",35,0,0,26.55,"NP"
"605",0,3,"male",36,1,0,15.55,"NP"
"606",0,3,"male",30,0,0,7.8958,"NP"
"607",1,1,"male",27,0,0,30.5,"NP"
"608",1,2,"female",22,1,2,41.5792,"P"
"609",1,1,"female",40,0,0,153.4625,"P"
"610",0,3,"female",39,1,5,31.275,"P"
"611",0,3,"male",30,0,0,7.05,"NP"
"612",1,3,"female",16,1,0,15.5,"P"
"613",0,3,"male",31,0,0,7.75,"NP"
"614",0,3,"male",35,0,0,8.05,"NP"
"615",1,2,"female",24,1,2,65,"P"
"616",0,3,"male",34,1,1,14.4,"NP"
"617",0,3,"female",26,1,0,16.1,"P"
"618",1,2,"female",4,2,1,39,"P"
"619",0,2,"male",26,0,0,10.5,"NP"
"620",0,3,"male",27,1,0,14.4542,"NP"
"621",1,1,"male",42,1,0,52.5542,"NP"
"622",1,3,"male",20,1,1,15.7417,"NP"
"623",0,3,"male",21,0,0,7.8542,"NP"
"624",0,3,"male",21,0,0,16.1,"NP"
"625",0,1,"male",61,0,0,32.3208,"NP"
"626",0,2,"male",57,0,0,12.35,"NP"
"627",1,1,"female",21,0,0,77.9583,"P"
"628",0,3,"male",26,0,0,7.8958,"NP"
"629",0,3,"male",31,0,0,7.7333,"NP"
"630",1,1,"male",80,0,0,30,"NP"
"631",0,3,"male",51,0,0,7.0542,"NP"
"632",1,1,"male",32,0,0,30.5,"NP"
"633",0,1,"male",60,0,0,0,"NP"
"634",0,3,"female",9,3,2,27.9,"P"
"635",1,2,"female",28,0,0,13,"P"
"636",0,3,"male",32,0,0,7.925,"NP"
"637",0,2,"male",31,1,1,26.25,"NP"
"638",0,3,"female",41,0,5,39.6875,"P"
"639",0,3,"male",24,1,0,16.1,"NP"
"640",0,3,"male",20,0,0,7.8542,"NP"
"641",1,1,"female",24,0,0,69.3,"P"
"642",0,3,"female",2,3,2,27.9,"P"
"643",1,3,"male",32,0,0,56.4958,"NP"
"644",1,3,"female",0.75,2,1,19.2583,"P"
"645",1,1,"male",48,1,0,76.7292,"NP"
"646",0,3,"male",19,0,0,7.8958,"NP"
"647",1,1,"male",56,0,0,35.5,"NP"
"648",0,3,"male",21,0,0,7.55,"NP"
"649",1,3,"female",23,0,0,7.55,"P"
"650",0,3,"male",21,0,0,7.8958,"NP"
"651",1,2,"female",18,0,1,23,"P"
"652",0,3,"male",21,0,0,8.4333,"NP"
"653",1,3,"female",16,0,0,7.8292,"P"
"654",0,3,"female",18,0,0,6.75,"P"
"655",0,2,"male",24,2,0,73.5,"NP"
"656",0,3,"male",21,0,0,7.8958,"NP"
"657",0,3,"female",32,1,1,15.5,"P"
"658",0,2,"male",23,0,0,13,"NP"
"659",0,1,"male",58,0,2,113.275,"NP"
"660",1,1,"male",50,2,0,133.65,"NP"
"661",0,3,"male",40,0,0,7.225,"NP"
"662",0,1,"male",47,0,0,25.5875,"NP"
"663",0,3,"male",36,0,0,7.4958,"NP"
"664",1,3,"male",20,1,0,7.925,"NP"
"665",0,2,"male",32,2,0,73.5,"NP"
"666",0,2,"male",25,0,0,13,"NP"
"667",0,3,"male",24.5,0,0,7.775,"NP"
"668",0,3,"male",43,0,0,8.05,"NP"
"669",1,1,"female",39,1,0,52,"P"
"670",1,2,"female",40,1,1,39,"P"
"671",0,1,"male",31,1,0,52,"NP"
"672",0,2,"male",70,0,0,10.5,"NP"
"673",1,2,"male",31,0,0,13,"NP"
"674",0,2,"male",52,0,0,0,"NP"
"675",0,3,"male",18,0,0,7.775,"NP"
"676",0,3,"male",24.5,0,0,8.05,"NP"
"677",1,3,"female",18,0,0,9.8417,"P"
"678",0,3,"female",43,1,6,46.9,"P"
"679",0,3,"female",25,0,0,8.1375,"P"
"680",1,1,"male",27,0,0,76.7292,"NP"
"681",0,3,"male",20,0,0,9.225,"NP"
"682",0,3,"male",14,5,2,46.9,"P"
"683",0,2,"male",60,1,1,39,"NP"
"684",0,2,"male",25,1,2,41.5792,"NP"
"685",0,3,"male",14,4,1,39.6875,"P"
"686",0,3,"male",19,0,0,10.1708,"NP"
"687",0,3,"male",18,0,0,7.7958,"NP"
"688",1,1,"female",15,0,1,211.3375,"P"
"689",1,1,"male",31,1,0,57,"NP"
"690",1,3,"female",4,0,1,13.4167,"P"
"691",1,3,"male",32,0,0,56.4958,"NP"
"692",0,3,"male",25,0,0,7.225,"NP"
"693",0,1,"male",60,0,0,26.55,"NP"
"694",0,2,"male",52,0,0,13.5,"NP"
"695",0,3,"male",44,0,0,8.05,"NP"
"696",1,3,"female",16,0,0,7.7333,"P"
"697",0,1,"male",49,1,1,110.8833,"NP"
"698",0,3,"male",42,0,0,7.65,"NP"
"699",1,1,"female",18,1,0,227.525,"P"
"700",1,1,"male",35,0,0,26.2875,"NP"
"701",0,3,"female",18,0,1,14.4542,"P"
"702",0,3,"male",25,0,0,7.7417,"NP"
"703",0,3,"male",26,1,0,7.8542,"NP"
"704",0,2,"male",39,0,0,26,"NP"
"705",1,2,"female",45,0,0,13.5,"P"
"706",1,1,"male",42,0,0,26.2875,"NP"
"707",1,1,"female",22,0,0,151.55,"P"
"708",1,3,"male",20,1,1,15.2458,"NP"
"709",1,1,"female",24,0,0,49.5042,"P"
"710",0,1,"male",47,0,0,26.55,"NP"
"711",1,1,"male",48,1,0,52,"NP"
"712",0,3,"male",29,0,0,9.4833,"NP"
"713",0,2,"male",52,0,0,13,"NP"
"714",0,3,"male",19,0,0,7.65,"NP"
"715",1,1,"female",38,0,0,227.525,"P"
"716",1,2,"female",27,0,0,10.5,"P"
"717",0,3,"male",31,0,0,15.5,"NP"
"718",0,3,"male",33,0,0,7.775,"NP"
"719",1,2,"female",6,0,1,33,"P"
"720",0,3,"male",17,1,0,7.0542,"P"
"721",0,2,"male",34,0,0,13,"NP"
"722",0,2,"male",50,0,0,13,"NP"
"723",1,1,"male",27,1,0,53.1,"NP"
"724",0,3,"male",20,0,0,8.6625,"NP"
"725",1,2,"female",30,3,0,21,"P"
"726",1,3,"female",16,0,0,7.7375,"P"
"727",0,2,"male",25,1,0,26,"NP"
"728",0,3,"female",25,1,0,7.925,"P"
"729",1,1,"female",29,0,0,211.3375,"P"
"730",0,3,"male",11,0,0,18.7875,"P"
"731",0,2,"male",34,0,0,0,"NP"
"732",0,2,"male",23,0,0,13,"NP"
"733",0,2,"male",23,0,0,13,"NP"
"734",0,3,"male",28.5,0,0,16.1,"NP"
"735",0,3,"female",48,1,3,34.375,"P"
"736",0,3,"male",28,0,0,7.8958,"NP"
"737",0,3,"male",28,0,0,7.8958,"NP"
"738",1,1,"male",42,0,0,30,"NP"
"739",0,1,"male",36,1,0,78.85,"NP"
"740",1,1,"female",21,2,2,262.375,"P"
"741",0,3,"male",24,1,0,16.1,"NP"
"742",1,3,"male",31,0,0,7.925,"NP"
"743",0,1,"male",70,1,1,71,"NP"
"744",0,3,"male",16,1,1,20.25,"P"
"745",1,2,"female",30,0,0,13,"P"
"746",0,1,"male",19,1,0,53.1,"NP"
"747",0,3,"male",31,0,0,7.75,"NP"
"748",1,2,"female",4,1,1,23,"P"
"749",1,3,"male",6,0,1,12.475,"P"
"750",0,3,"male",33,0,0,9.5,"NP"
"751",0,3,"male",23,0,0,7.8958,"NP"
"752",1,2,"female",48,1,2,65,"P"
"753",1,2,"male",0.67,1,1,14.5,"P"
"754",0,3,"male",28,0,0,7.7958,"NP"
"755",0,2,"male",18,0,0,11.5,"NP"
"756",0,3,"male",34,0,0,8.05,"NP"
"757",1,1,"female",33,0,0,86.5,"P"
"758",0,3,"male",28,0,0,14.5,"NP"
"759",0,3,"male",41,0,0,7.125,"NP"
"760",1,3,"male",20,0,0,7.2292,"NP"
"761",1,1,"female",36,1,2,120,"P"
"762",0,3,"male",16,0,0,7.775,"P"
"763",1,1,"female",51,1,0,77.9583,"P"
"764",0,1,"male",40,0,0,39.6,"NP"
"765",0,3,"female",30.5,0,0,7.75,"P"
"766",0,3,"male",31,1,0,24.15,"NP"
"767",0,3,"male",32,0,0,8.3625,"NP"
"768",0,3,"male",24,0,0,9.5,"NP"
"769",0,3,"male",48,0,0,7.8542,"NP"
"770",0,2,"female",57,0,0,10.5,"P"
"771",0,3,"male",30,0,0,7.225,"NP"
"772",1,2,"female",54,1,3,23,"P"
"773",0,3,"male",18,0,0,7.75,"NP"
"774",0,3,"male",31,0,0,7.75,"NP"
"775",1,3,"female",5,0,0,12.475,"P"
"776",0,3,"male",31,0,0,7.7375,"NP"
"777",1,1,"female",43,0,1,211.3375,"P"
"778",1,3,"female",13,0,0,7.2292,"P"
"779",1,1,"female",17,1,0,57,"P"
"780",0,1,"male",29,0,0,30,"NP"
"781",0,3,"male",24,1,2,23.45,"NP"
"782",0,3,"male",25,0,0,7.05,"NP"
"783",0,3,"male",25,0,0,7.25,"NP"
"784",1,3,"female",18,0,0,7.4958,"P"
"785",0,3,"male",8,4,1,29.125,"P"
"786",1,3,"male",1,1,2,20.575,"P"
"787",0,1,"male",46,0,0,79.2,"NP"
"788",0,3,"male",31,0,0,7.75,"NP"
"789",0,2,"male",16,0,0,26,"P"
"790",0,3,"female",9,8,2,69.55,"P"
"791",0,1,"male",40,0,0,30.6958,"NP"
"792",0,3,"male",25,0,0,7.8958,"NP"
"793",0,2,"male",39,0,0,13,"NP"
"794",1,1,"female",49,0,0,25.9292,"P"
"795",1,3,"female",31,0,0,8.6833,"P"
"796",0,3,"male",30,0,0,7.2292,"NP"
"797",0,3,"female",30,1,1,24.15,"P"
"798",0,2,"male",34,0,0,13,"NP"
"799",1,2,"female",31,1,1,26.25,"P"
"800",1,1,"male",11,1,2,120,"P"
"801",1,3,"male",0.42,0,1,8.5167,"P"
"802",1,3,"male",27,0,0,6.975,"NP"
"803",0,3,"male",31,0,0,7.775,"NP"
"804",0,1,"male",39,0,0,0,"NP"
"805",0,3,"female",18,0,0,7.775,"P"
"806",0,2,"male",39,0,0,13,"NP"
"807",1,1,"female",33,1,0,53.1,"P"
"808",0,3,"male",26,0,0,7.8875,"NP"
"809",0,3,"male",39,0,0,24.15,"NP"
"810",0,2,"male",35,0,0,10.5,"NP"
"811",0,3,"female",6,4,2,31.275,"P"
"812",0,3,"male",30.5,0,0,8.05,"NP"
"813",0,1,"male",33,0,0,0,"NP"
"814",0,3,"female",23,0,0,7.925,"P"
"815",0,2,"male",31,1,1,37.0042,"NP"
"816",0,3,"male",43,0,0,6.45,"NP"
"817",0,3,"male",10,3,2,27.9,"P"
"818",1,1,"female",52,1,1,93.5,"P"
"819",1,3,"male",27,0,0,8.6625,"NP"
"820",0,1,"male",38,0,0,0,"NP"
"821",1,3,"female",27,0,1,12.475,"P"
"822",0,3,"male",2,4,1,39.6875,"P"
"823",0,3,"male",31,0,0,6.95,"NP"
"824",0,3,"male",28,0,0,56.4958,"NP"
"825",1,2,"male",1,0,2,37.0042,"P"
"826",1,3,"male",27,0,0,7.75,"NP"
"827",1,1,"female",62,0,0,80,"P"
"828",1,3,"female",15,1,0,14.4542,"P"
"829",1,2,"male",0.83,1,1,18.75,"P"
"830",0,3,"male",30,0,0,7.2292,"NP"
"831",0,3,"male",23,0,0,7.8542,"NP"
"832",0,3,"male",18,0,0,8.3,"NP"
"833",1,1,"female",39,1,1,83.1583,"P"
"834",0,3,"male",21,0,0,8.6625,"NP"
"835",0,3,"male",20,0,0,8.05,"NP"
"836",1,3,"male",32,0,0,56.4958,"NP"
"837",1,1,"male",32,0,0,29.7,"NP"
"838",0,3,"male",20,0,0,7.925,"NP"
"839",0,2,"male",16,0,0,10.5,"P"
"840",1,1,"female",30,0,0,31,"P"
"841",0,3,"male",34.5,0,0,6.4375,"NP"
"842",0,3,"male",17,0,0,8.6625,"P"
"843",0,3,"male",42,0,0,7.55,"NP"
"844",0,3,"male",9,8,2,69.55,"P"
"845",0,3,"male",35,0,0,7.8958,"NP"
"846",0,2,"male",28,0,1,33,"NP"
"847",1,1,"female",49,1,0,89.1042,"P"
"848",0,3,"male",4,4,2,31.275,"P"
"849",0,3,"male",74,0,0,7.775,"NP"
"850",0,3,"female",9,1,1,15.2458,"P"
"851",1,1,"female",16,0,1,39.4,"P"
"852",0,2,"female",44,1,0,26,"P"
"853",1,3,"female",18,0,1,9.35,"P"
"854",1,1,"female",45,1,1,164.8667,"P"
"855",1,1,"male",51,0,0,26.55,"NP"
"856",1,3,"female",24,0,3,19.2583,"P"
"857",0,3,"male",30,0,0,7.2292,"NP"
"858",0,3,"male",41,2,0,14.1083,"NP"
"859",0,2,"male",21,1,0,11.5,"NP"
"860",1,1,"female",48,0,0,25.9292,"P"
"861",0,3,"female",9,8,2,69.55,"P"
"862",0,2,"male",24,0,0,13,"NP"
"863",1,2,"female",42,0,0,13,"P"
"864",1,2,"female",27,1,0,13.8583,"P"
"865",0,1,"male",31,0,0,50.4958,"NP"
"866",0,3,"male",26,0,0,9.5,"NP"
"867",1,3,"male",4,1,1,11.1333,"P"
"868",0,3,"male",26,0,0,7.8958,"NP"
"869",1,1,"female",47,1,1,52.5542,"P"
"870",0,1,"male",33,0,0,5,"NP"
"871",0,3,"male",47,0,0,9,"NP"
"872",1,2,"female",28,1,0,24,"P"
"873",1,3,"female",15,0,0,7.225,"P"
"874",0,3,"male",20,0,0,9.8458,"NP"
"875",0,3,"male",19,0,0,7.8958,"NP"
"876",0,3,"male",25,0,0,7.8958,"NP"
"877",1,1,"female",56,0,1,83.1583,"P"
"878",1,2,"female",25,0,1,26,"P"
"879",0,3,"male",33,0,0,7.8958,"NP"
"880",0,3,"female",22,0,0,10.5167,"P"
"881",0,2,"male",28,0,0,10.5,"NP"
"882",0,3,"male",25,0,0,7.05,"NP"
"883",0,3,"female",39,0,5,29.125,"P"
"884",0,2,"male",27,0,0,13,"NP"
"885",1,1,"female",19,0,0,30,"P"
"886",0,3,"female",22,1,2,23.45,"P"
"887",1,1,"male",26,0,0,30,"NP"
"888",0,3,"male",32,0,0,7.75,"NP"
